scenario,samples,csm_sign_mean_us,csm_sign_p99_us,cantp_frag_mean_us,cantp_frag_p99_us,bus_transit_mean_us,bus_transit_p99_us,csm_verify_mean_us,csm_verify_p99_us,com_pdur_secoc_mean_us,e2e_mean_us,e2e_p99_us
bus_failure_clean,200,7.99,6.49,0.09,0.12,3.40,7.98,6.62,23.48,750.58,768.69,908.62
bus_failure_heavy,195,2.14,3.31,0.09,0.12,3.01,13.22,5.32,15.92,749.94,760.51,931.45
bus_failure_noisy,200,2.20,5.58,0.09,0.12,4.18,15.25,7.53,18.25,772.51,786.51,935.45
deadline_relaxed,200,2.41,3.45,0.10,0.15,4.78,14.84,8.29,22.54,714.19,729.77,880.77
deadline_tight,200,21.43,75.50,16.27,48.72,0.00,0.00,0.00,0.00,50135.15,50172.85,50318.90
flexray_hmac_r1,600,6.07,17.17,3.43,21.61,2.22,8.26,5.32,16.03,725.51,742.55,877.67
flexray_hybrid_r1,600,111.39,349.16,4.77,21.18,16.55,97.25,38.72,73.92,740.19,911.62,1262.48
flexray_pqc_r1,600,106.41,329.23,5.19,25.56,16.79,96.26,35.62,67.62,748.18,912.19,1179.14
freshness_overflow_hmac_r1,0,122.66,4.20,0.09,0.10,1.85,2.31,0.72,0.00,0.00,0.00,0.00
freshness_overflow_pqc_r1,0,91.07,131.36,3.43,2.07,80.18,94.20,3.75,0.00,0.00,0.00,0.00
keymismatch_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
keymismatch_mismatch,0,2.26,7.30,0.10,0.14,5.01,32.62,7.45,17.56,0.00,0.00,0.00
keymismatch_shared,200,8.33,8.82,0.10,0.14,3.44,11.14,6.15,20.52,747.65,765.67,885.03
mixed_bus_can,200,97.18,295.51,2.21,2.54,40.38,149.20,35.12,64.11,772.48,947.36,1206.20
mixed_bus_eth,200,133.32,445.65,2.08,2.58,44.72,320.39,34.91,64.48,1533.58,1748.61,2194.66
multi_ecu_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx0,200,0.00,0.00,0.00,0.00,0.00,0.00,5.24,19.64,754.85,760.09,919.94
multi_ecu_rx1,200,0.00,0.00,0.00,0.00,0.00,0.00,4.90,14.47,746.70,751.60,883.59
multi_ecu_rx2,200,0.00,0.00,0.00,0.00,0.00,0.00,5.44,18.98,751.03,756.47,914.44
multi_ecu_tx,0,3.94,3.29,0.10,0.14,2.79,7.59,0.00,0.00,0.00,0.00,0.00
persistence_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
persistence_no_nvm,200,4.33,3.28,0.10,0.14,3.05,8.72,5.50,20.41,740.98,753.97,853.40
persistence_with_nvm,200,2.64,11.46,0.11,0.14,2.65,8.62,4.09,16.54,724.98,734.46,841.17
rekey_r1,200,10.32,23.51,12.51,19.98,0.00,0.00,11.30,29.16,0.33,34.45,76.59
replay_boundary_hmac_r1,0,21.03,21.10,0.10,0.13,2.62,6.67,1.45,6.21,0.00,0.00,0.00
replay_boundary_pqc_r1,0,100.65,289.30,2.18,5.15,80.97,179.04,9.13,39.95,0.00,0.00,0.00
rollover_hmac_r1,0,39.92,14.97,0.10,0.13,3.61,7.73,5.54,15.77,0.00,0.00,0.00
rollover_pqc_r1,0,98.42,234.30,2.06,2.25,80.96,130.91,28.77,57.27,0.00,0.00,0.00
tput_hmac_canfd_r1,2575,2.64,5.68,0.10,0.13,3.61,13.54,6.32,20.95,764.01,776.69,933.15
tput_pqc_eth1000_r1,2328,104.75,296.16,0.20,0.25,6.37,23.96,37.17,67.20,710.59,859.07,1122.34
tput_pqc_eth100_r1,2044,105.40,308.09,0.21,0.27,7.08,23.16,38.33,79.11,827.29,978.31,1243.40
verify_disabled_r1,200,0.05,0.07,0.11,0.14,3.15,11.65,0.05,0.08,723.66,727.02,866.35
