clause,implementation_refs,unit_test_refs,ise_scenario_refs,status
SWS_SecOC_00256,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1342 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1787,,,IMPL_ONLY
SWS_SecOC_00257,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1182,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_multi_ecu.c:15,IMPL+EVIDENCE
SWS_SecOC_00259,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1176,,,IMPL_ONLY
SWS_SecOC_00261,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:418,,,IMPL_ONLY
SWS_SecOC_00262,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:414,,,IMPL_ONLY
SWS_SecOC_00263,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1053,/home/user/computer_engineering_project/Autosar_SecOC/test/startOfReceptionTests.cpp:134,,IMPL+EVIDENCE
SWS_SecOC_00265,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1337,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_verify_disabled.c:115 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_verify_disabled.c:125 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_verify_disabled.c:14 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_verify_disabled.c:17 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_verify_disabled.c:56 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/scenario_runner.c:59,IMPL+EVIDENCE
SWS_SecOC_91003,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/FVM.h:89 | /home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:112 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:198,,,IMPL_ONLY
SWS_SecOC_91005,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:57,,,IMPL_ONLY
SWS_SecOC_91006,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:75,,,IMPL_ONLY
SWS_SecOC_91007,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/FVM.h:70 | /home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:274 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:137 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:93,/home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:16,,IMPL+EVIDENCE
SWS_SecOC_91008,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:337 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1898,,,IMPL_ONLY
SWS_SecOC_91009,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1914,,,IMPL_ONLY
