scenario,samples,e2e_mean_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,e2e_p999_us,auth_mean_us,verify_mean_us,cantp_mean_us,bus_mean_us
keymismatch_mismatch,0,0.00,0.00,0.00,0.00,0.00,2.26,7.45,0.10,5.01
keymismatch_shared,200,765.67,753.72,840.56,885.03,936.81,8.33,6.15,0.10,3.44
mixed_bus_can,200,947.36,929.03,1072.94,1206.20,1259.30,97.18,35.12,2.21,40.38
mixed_bus_eth,200,1748.61,1723.93,1973.48,2194.66,2215.22,133.32,34.91,2.08,44.72
multi_ecu_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx0,200,760.09,743.71,837.07,919.94,933.87,0.00,5.24,0.00,0.00
multi_ecu_rx1,200,751.60,741.87,832.75,883.59,884.88,0.00,4.90,0.00,0.00
multi_ecu_rx2,200,756.47,744.04,849.16,914.44,923.38,0.00,5.44,0.00,0.00
multi_ecu_tx,0,0.00,0.00,0.00,0.00,0.00,3.94,0.00,0.10,2.79
persistence_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
persistence_no_nvm,200,753.97,737.04,827.45,853.40,855.40,4.33,5.50,0.10,3.05
persistence_with_nvm,200,734.46,727.16,787.75,841.17,849.98,2.64,4.09,0.11,2.65
rekey_r1,200,34.45,32.51,43.76,76.59,79.20,10.32,11.30,12.51,0.00
replay_boundary_hmac_r1,0,0.00,0.00,0.00,0.00,0.00,21.03,1.45,0.10,2.62
replay_boundary_pqc_r1,0,0.00,0.00,0.00,0.00,0.00,100.65,9.13,2.18,80.97
rollover_hmac_r1,0,0.00,0.00,0.00,0.00,0.00,39.92,5.54,0.10,3.61
rollover_pqc_r1,0,0.00,0.00,0.00,0.00,0.00,98.42,28.77,2.06,80.96
tput_hmac_canfd_r1,2575,776.69,755.40,874.09,933.15,1038.71,2.64,6.32,0.10,3.61
tput_pqc_eth1000_r1,2328,859.07,836.47,1017.01,1122.34,1205.25,104.75,37.17,0.20,6.37
tput_pqc_eth100_r1,2044,978.31,958.21,1135.76,1243.40,1370.40,105.40,38.33,0.21,7.08
verify_disabled_r1,200,727.02,714.39,811.51,866.35,870.08,0.05,0.05,0.11,3.15
