scenario,samples,e2e_mean_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,e2e_p999_us,auth_mean_us,verify_mean_us,cantp_mean_us,bus_mean_us
multi_ecu_rx1,200,761.96,745.28,854.55,902.42,957.31,0.00,5.71,0.00,0.00
multi_ecu_rx2,200,759.19,744.92,851.22,896.95,923.35,0.00,6.18,0.00,0.00
multi_ecu_tx,0,0.00,0.00,0.00,0.00,0.00,4.19,0.00,0.12,3.18
persistence_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
persistence_no_nvm,200,773.94,743.87,872.14,992.12,1026.95,4.35,6.56,0.10,3.62
persistence_with_nvm,200,748.18,747.32,778.09,860.87,911.70,2.44,4.00,0.10,2.71
rekey_r1,200,36.91,32.66,54.69,104.78,114.20,10.70,12.17,13.71,0.00
rollover_hmac_r1,0,0.00,0.00,0.00,0.00,0.00,38.26,4.68,0.09,3.39
rollover_pqc_r1,0,0.00,0.00,0.00,0.00,0.00,137.30,27.72,2.20,79.21
tput_hmac_canfd_r1,2627,761.29,746.09,857.79,915.45,1024.78,2.55,5.30,0.10,3.13
tput_pqc_eth1000_r1,2383,839.25,817.20,983.25,1096.26,1318.52,100.69,35.25,0.20,5.73
tput_pqc_eth100_r1,2096,954.18,931.64,1107.87,1214.36,1419.43,105.19,36.86,0.23,6.20
